source	target
"""Guaranteed"" Mustang Rental Hertz @ SFO - downgraded"	CaSwede1
"""Guaranteed"" Mustang Rental Hertz @ SFO - downgraded"	Caneuropianada
"""Guaranteed"" Mustang Rental Hertz @ SFO - downgraded"	Darkbeer
"""Guaranteed"" Mustang Rental Hertz @ SFO - downgraded"	HopSkipJump
"""Guaranteed"" Mustang Rental Hertz @ SFO - downgraded"	O4157NWmartinr
"""Guaranteed"" Mustang Rental Hertz @ SFO - downgraded"	PacificNWFamily
"""Guaranteed"" Mustang Rental Hertz @ SFO - downgraded"	Puter
"""Guaranteed"" Mustang Rental Hertz @ SFO - downgraded"	TomMalley
"""Guaranteed"" Mustang Rental Hertz @ SFO - downgraded"	Vacation
"""Guaranteed"" Mustang Rental Hertz @ SFO - downgraded"	belomiser
"""Guaranteed"" Mustang Rental Hertz @ SFO - downgraded"	chriskuo
"""Guaranteed"" Mustang Rental Hertz @ SFO - downgraded"	holodan
"""Guaranteed"" Mustang Rental Hertz @ SFO - downgraded"	johnnyvegas12
"""Guaranteed"" Mustang Rental Hertz @ SFO - downgraded"	november_moon
"""Guaranteed"" Mustang Rental Hertz @ SFO - downgraded"	vnrose52
$99 or less hotels, motels, yurts, cabins, etc along PCH?	DanT591
$99 or less hotels, motels, yurts, cabins, etc along PCH?	HappyFeet1234
$99 or less hotels, motels, yurts, cabins, etc along PCH?	Kibbles16
$99 or less hotels, motels, yurts, cabins, etc along PCH?	Sonapaoma
$99 or less hotels, motels, yurts, cabins, etc along PCH?	TomMalley
$99 or less hotels, motels, yurts, cabins, etc along PCH?	belomiser
$99 or less hotels, motels, yurts, cabins, etc along PCH?	lemoncurls
$99 or less hotels, motels, yurts, cabins, etc along PCH?	november_moon
$99 or less hotels, motels, yurts, cabins, etc along PCH?	riffsmom
$99 or less hotels, motels, yurts, cabins, etc along PCH?	sp294
$99 or less hotels, motels, yurts, cabins, etc along PCH?	tripjunky
- decent price hotel or rentals near Pantages ?	ElleBeInLA
- decent price hotel or rentals near Pantages ?	HopSkipJump
- decent price hotel or rentals near Pantages ?	RoxanneM829
- decent price hotel or rentals near Pantages ?	scottca075
1 day trip to San Diego	GoldenSunshine1003
1 day trip to San Diego	riffsmom
1 week Southern California driving trip advice	399amandat
1 week Southern California driving trip advice	PlumeriaD
1 week Southern California driving trip advice	dez40
1 week in California	ClaireJourneys
1 week in California	PlumeriaD
1 week in California	SFSusanW
1 week in California	sherinongratis
1 week to go	AlohaKiwiGal
1 week to go	Cazncorey
1 week to go	MTRHO
1 week- Half in LA area, where to spend the other half?	PlumeriaD
1 week- Half in LA area, where to spend the other half?	Ralph_MB
1 week- Half in LA area, where to spend the other half?	TomMalley
1 week- Half in LA area, where to spend the other half?	Unsworth7
1 week- Half in LA area, where to spend the other half?	lmnap
1 week- Half in LA area, where to spend the other half?	riffsmom
1.5 days	ClaireJourneys
1.5 days	Jaclyn33
1.5 days	SFSusanW
1.5 days	belomiser
1.5 days	coolcaesar
1.5 days	holodan
10 Days stay- Hollywood VS Downtown LA	55vineyard
10 Days stay- Hollywood VS Downtown LA	Darkbeer
10 Days stay- Hollywood VS Downtown LA	ElleBeInLA
10 Days stay- Hollywood VS Downtown LA	HitchKennedy
10 Days stay- Hollywood VS Downtown LA	HopSkipJump
10 Days stay- Hollywood VS Downtown LA	IrfanZ
10 Days stay- Hollywood VS Downtown LA	JoseWasHere
10 Days stay- Hollywood VS Downtown LA	PlumeriaD
10 Days stay- Hollywood VS Downtown LA	SilverLaker2016
10 Days stay- Hollywood VS Downtown LA	scottca075
10 Days stay- Hollywood VS Downtown LA	stevie_23
10 days in Cali!	PacificNWFamily
10 days in Cali!	R1114SAalicel
10 days in Cali!	TomMalley
10 days in Cali!	belomiser
10 days in Cali!	lemoncurls
10 days in Cali!	mini
10 days in Cali!	riffsmom
10 days in Cali!	sunrisesandiego
10 days in January in CA	PacificNWFamily
10 days in January in CA	PlumeriaD
10 days in January in CA	Tian19
10 days in January in CA	mini
10 days in LA with kids	55vineyard
10 days in LA with kids	CAnative
10 days in LA with kids	PlumeriaD
10 days in LA with kids	Ralph_MB
10 days in LA with kids	RedlandsRedhead
10 days in LA with kids	coolcaesar
10 days in LA with kids	konigreid
10/1-10/8 visit	ChanEvan
